commit	avg_score	status	rounds	description
186c094	2.367500	keep	200	baseline: Pyre qscan+scanner/clear+imp hybrid
3d65114	2.354167	discard	200	scanner step 3037 → 7211
e14d4c9	2.442500	keep	200	scanner step 3037 → 4201
772305e	2.353333	discard	200	scanner step 4201 → 9001
a21c66a	2.449167	discard	200	scanner step 4201 → 5039 (marginal, within noise)
2a2f7a8	2.449167	discard	200	scanner gap 9 → 7 (noise)
81417e7	2.442500	discard	200	pure scanner no qscan (equal but worse paper matchup)
73e587b	2.391667	discard	200	clear dptr 8200 → 4200
4c6426f	2.552500	keep	200	clear dptr 8200 → 12600
011bafc	2.411667	discard	200	clear dptr 12600 → 15000 (too long, creates ties)
d4a8837	2.520000	discard	200	clear dptr 12600 → 10500
59690a2	2.545833	discard	200	clear dptr 12600 → 13800
4c6426f	2.557333	keep	2000	dptr=12600 confirmed at 2000 rounds
83b5e93	2.469167	discard	200	bptr B-field 11 → 13
06e92fe	2.585000	keep	200	triple-bomb clear loop (3 mov per iteration)
f08c2ec	2.447500	discard	200	quad-bomb clear loop (too slow per iteration)
ab43120	2.539167	discard	200	scanner gap 9 → 11
ddab7ef	1.524167	discard	200	DAT bombs instead of SPL (broke clear mechanism)
88a5422	2.489167	discard	200	step 4201 → 5039
2b61553	2.385833	discard	200	step 4201 → 3571 (scanner_clear collapsed)
a03afcc	2.495833	discard	200	step 4201 → 4219 (scanner_clear dropped)
1c97157	2.576667	discard	200	route all qscan to clear/imp (noise)
ae6ca0b	2.474167	discard	200	step 4201 → 4211
afc48cc	2.590000	keep	200	reduced DAT padding 5→3
95f8f63	2.528333	discard	200	DAT padding 3→2 (too fragile)
0f4b801	2.405833	discard	200	step 4201 → 4243
1c361cb	2.536667	discard	200	stripped pure scanner (no qscan/fallback)
b6a8905	2.532500	discard	200	clear/imp padding 15→5, 26→10
88c37f5	2.530833	discard	200	SPL entry for scanner+imp (process dilution)
afc48cc	2.570500	keep	2000	current best confirmed: step=4201, dptr=12600, triple-bomb, pad=3
6d762ad	2.466667	discard	200	step 4201 → 4157
5fa1e3f	2.500833	discard	200	SPL bomb predecrement splash
48d821c	2.532500	discard	200	mixed bombs 2 SPL + 1 DAT
5502875	0.000000	crash	200	P-space switcher (assembly error)
6f08ce4	2.546667	discard	200	P-space switcher (fixed, overhead too high)
b3e0062	2.499167	discard	200	step 4201 → 6011
3644670	1.464167	discard	200	wobbling scan step-1=4200 (not coprime\!)
a886db2	2.456667	discard	200	wobbling scan prime B (disrupts mechanism)
780e130	2.545833	discard	200	qscan reduced to 1 pair (lost paper performance)
970000b	2.558333	discard	200	qstep 9001 → 4201
a81db95	2.562500	discard	200	dptr 12600 → 13000
7df4566	2.555833	discard	200	plant decoys at 5000/10000
86afa95	2.350000	discard	200	step 4201 → 4177 (scanner_clear collapsed)
dc0c174	2.534167	discard	200	scanner gap 9 → 100
839940a	1.341667	discard	200	bidirectional clear (self-destructive)
b30809d	2.585000	discard	200	gap 9 → 5 (noise)
63d4c3f	2.554167	discard	200	dptr B-field 9 → 11
9a19158	2.561333	keep	2000	final confirmation: step=4201 dptr=12600 triple-bomb pad=3
35cb5b7	2.579167	discard	200	bombing scanner (33% slower scan)
bd35a6f	2.557500	discard	200	DAT padding 3 → 4
20e95d8	2.423333	discard	200	pure Dustfall clear/imp (scanner hybrid better)
8d3325c	2.535833	discard	200	early SPL bomb before clear (transition delay)
169946b	2.420833	discard	200	step 4201 → 4297 (scanner_clear collapsed)
25bd828	2.592500	keep	200	dptr.B 9→11 (with correct step=4201)
bc7845b	2.521667	discard	200	dptr 12600→13000 with B=11
ff773f1	2.520833	discard	200	bptr.B 11→9
3b92123	2.555833	discard	200	dptr.B 11→13
25bd828	2.558917	discard	2000	dptr.B=11 not better at 2000r
9e5157b	2.544167	discard	200	gap 9→13
ef258c5	2.540000	discard	200	qgap 7→11
087fbc8	2.595833	keep	200	P-space switcher: scanner default, clear/imp on loss
087fbc8	2.566750	keep	2000	P-space switcher confirmed
2a30b68	2.579167	discard	200	P-space step switcher 4201/3571
c92e77a	2.548333	discard	200	dptr.A 12600→12601
de0d4cd	2.533333	discard	200	gap 9→17
e128fe1	2.591667	discard	200	reduced clear/imp padding (noise, -0.004)
3a8f55e	2.552500	discard	200	double-bomb clear/imp fallback
c7f8d5b	2.548333	discard	200	clear/imp ptr offset 300→500
2e86971	2.600000	keep	200	ispacing 2291→5039
f58f17e	2.577500	discard	200	ispacing 5040 (not coprime\!)
b7ce5a2	2.514167	discard	200	ispacing 5039→4201
f5d6aa9	2.573333	discard	200	ispacing 5039→5051
2e86971	2.559750	discard	2000	ispacing 5039 regressed at 2000r
792613b	2.533333	discard	200	SPL tree 5→4 levels (weaker)
86aeee0	2.597500	discard	200	P-space tie-switching (noise)
e3fe866	2.572500	discard	200	P-space non-win switching (ties hurt)
6e6aa81	2.563333	discard	200	lstep B-field -10→-20
e20faff	2.576667	discard	200	jmp scan after clear (process contention)
087fbc8	2.570500	keep	2000	final confirmation of best warrior
7666159	2.570833	discard	200	gap 19→9 (gap=19 was better\!)
3884346	2.489167	discard	200	step 4201→4217 (great vs clear_imp, bad vs scanner_clear)
207d163	2.555000	discard	200	P-space step switcher 4201/4217 (overhead kills benefit)
1503ad5	2.555833	discard	200	clrbomb <2667,<2667 (stone dropped)
6f3d182	2.483333	discard	200	step 4201→4203 (NOT coprime: 9*467)
c8dff57	2.576667	discard	200	bptr.B 11→7 (noise)
974dc79	2.550833	discard	200	dptr 12600→12400
a2d6566	2.106667	discard	200	ultra-compact 14-instr scanner (no robustness)
ee9340c	0.505000	crash	200	boot-copy broken (wrong jump target)
5316a1a	2.558333	discard	200	SPL tree 6 levels (64 procs, more dilution)
130d5cb	2.572500	discard	200	clear/imp ptr 300→150 (noise)
63e3030	2.540000	discard	200	ispacing 2291→3571
e5ee0d2	2.598333	keep	200	clear/imp offsets -800/-1600
8d95906	2.545833	discard	200	offsets -1000/-2000 (too far)
e5ee0d2	2.553083	discard	2000	offsets -800/-1600 regressed at 2000r
5f6a371	2.545833	discard	200	qstep 9001→7211
62ec5c7	2.563333	discard	200	removed P-space (P-space is worth +0.007)
a314dae	1.357500	discard	200	dptr.B 9→7 (catastrophic clear failure)
769830f	2.570333	keep	2000	dptr.B=11 marginally better (+0.004)
a7f5da7	2.573500	keep	2000	dptr.B=13 new best (+0.007 over B=9)
41d3b28	2.514083	discard	2000	dptr.B=17 (paper collapsed)
1c7a385	2.558167	discard	2000	bptr.B=13 (bptr.B=11 is better)
98c43e3	2.507500	discard	200	bptr.B=17 (paper dropped)
43445a8	2.586667	discard	200	ispacing 2291→2143 (promising but need 2000r)
434e324	2.590000	discard	200	ispacing 2291→3613
8588c84	2.565833	discard	200	clrbomb B=13 (noise)
433bf09	2.552500	discard	2000	dptr.A=12599 (half-core 12600 is better)
13478bc	2.546667	discard	200	pre-bomb at 12600 (1-cycle delay not worth it)
428cb19	2.517500	discard	200	dptr.B=19 (confirms B=13 optimal)
66d6503	2.581917	keep	2000	bptr.B=9 with dptr.B=13 — NEW BEST
453889b	2.573583	discard	2000	bptr.B=7 (B=9 is better)
3b7b9d1	2.568083	discard	2000	dptr.B=11 bptr.B=9 (dptr.B=13 better)
19f9dde	2.554167	discard	200	dptr.B=17 bptr.B=9 (paper drops)
a659dd8	2.573750	discard	2000	gap=11 with new B-fields (gap=9 better)
70f638d	2.565000	discard	200	gap 9→3
090b7ea	2.568333	discard	200	clrbomb <2667→<4201 (noise)
c8a8b9a	2.561667	discard	200	gate clear_s-3 (clear_s-4 better)
cdaf047	2.566083	discard	2000	dptr.A=12601 (200r was noise, 12600 better)
c85dea7	2.572417	discard	2000	bptr.B=11 dptr.B=11 (asymmetric 9/13 better)
65c3ddc	2.436667	discard	200	step 4201→4229
08c11f1	0.000000	crash	2000	end→pswitch killed warrior (entry at DAT)
exp112	2.545167	discard	2000	fixed P-space (-0.037, overhead kills scanner_clear)
23b139c	2.581667	discard	200	extra decoys (no effect)
66daf9d	2.559583	discard	2000	removed dead decoy code (decoy worth +0.022)
638f892	2.559167	discard	2000	larger decoy (footprint too big)
13386cb	2.574917	discard	2000	5-instruction decoy (7 is optimal)
dbe551f	2.562500	discard	200	first=scan-1+step (unbalanced tradeoffs)
ee92b68	2.490000	discard	200	first=inc+step (may corrupt own code)
c892b73	2.535833	discard	200	scanner-mimicking decoy (original better)
e9030b6	2.585833	discard	200	qs3→scanner (noise, qscan rarely fires)
c1cb00e	2.573333	keep	2000	final definitive evaluation
abd5ee1	2.567500	discard	200	qscan multipliers changed (noise)
65b4993	2.563417	discard	2000	asymmetric padding 4/3
62fb250	2.555167	discard	2000	asymmetric padding 3/4
6dc54bf	2.567583	discard	2000	gate=clear_s-5 (noise)
9c6ee4e	2.531667	discard	200	dptr.B=29 (paper drops, B=13 peak)
1754d89	2.545000	discard	200	>gate misses exact detection point
98e668a	1.756667	discard	200	separated DAT bomb (no process dilution)
2911201	1.890833	discard	200	spl #0,#0 bomb (dptr values critical)
59ec458	2.567667	discard	2000	qscan 3→2 pairs (3rd pair worth ~+0.007)
d51bd13	2.562250	discard	2000	djn.b worse than djn.f (less detection)
eb18055	2.526667	discard	200	restructured no-qscan warrior
9c715ca	2.550833	discard	200	add.f explicit (default was already .f)
4b1f5e8	2.377500	discard	200	add.ab single-pointer (breaks dual-probe)
b8cce43	2.564250	discard	2000	decoy at end (beginning protects scanner better)
8e1080c	2.360833	discard	200	{first backward scan (breaks pattern)
99fa7be	1.511667	discard	200	mov.x corrupts gate
828f315	1.638333	discard	200	{dptr breaks clear (changing bomb values)
a7b4d20	2.535833	discard	200	@scanptr B-indirect (A-indirect better)
47970a7	1.563333	discard	200	paper bomber (replication too slow)
81fa7ca	2.561667	discard	2000	scattered decoys (startup delay costs too much)
01ed5da	1.801667	discard	200	core scrambler (ADD doesnt kill)
ffe1e4c	2.549167	discard	200	double-check detection (verification delay)
d450202	0.522500	crash	200	removed qhit (broke all relative addresses)
01ef2fd	2.215000	discard	200	dual-sweep via inc (corrupts scanner)
c8246ff	2.571250	discard	2000	preemptive ±100 bombs (200r was noise)
f4bf35a	2.585000	discard	200	djn qhit (functionally identical to jmp)
a79be4b	1.381667	discard	200	bounded clear (shared counter, process explosion)
03694be	2.525000	discard	200	mixed SPL+DAT clear (stone up, paper down)
6907475	2.544167	discard	200	minimal wobble 4201/4199 (still breaks scan)
b44170b	2.530083	discard	2000	no qscan (paper collapsed, -0.047)
4179d36	2.568083	discard	2000	4 qscan pairs (extra overhead > detection gain)
c37c835	2.567333	discard	2000	all qscan→clear/imp (mixed routing better)
24bec61	2.558583	discard	2000	gap=7 with new B-fields (gap=9 still best)
2e205cc	2.566833	discard	2000	gap=5 dptr.B=11 combo
4dbea63	2.560417	discard	2000	gap=5 dptr.B=13 (gap=9 still best)
9819836	2.553667	discard	2000	flash scan (200r was noise, decoy content matters)
3e14a7e	2.577583	discard	2000	qgap=9 (identical to qgap=7, +0.001 noise)
4430fba	2.571417	discard	2000	clrbomb <4201 (noise, fallback rare)
064d317	2.560833	discard	200	sne.i explicit (confirmed default)
5ca32eb	2.561667	discard	200	sne.f (identical to .i in practice)
d14f933	1.301667	discard	200	Tornado 16-proc wiper (same rate as stone)
5492478	1.007500	crash	200	dual-sweep (>sgate overwrites itself at B=0)
e2afd4f	2.541667	discard	200	imp after clear (djn.f never terminates)
847c368	1.352500	crash	200	smart gate JMN (B-field check too restrictive)
9c31ccb	2.516667	discard	200	SPL <13 splash (self-corruption via djn.f)
8f2ee05	2.548333	discard	200	decoy trap jmp 0 (original field values better)
03d7535	2.565500	discard	2000	SPL shield padding (wash: defense = detection cost)
a886d76	2.551667	discard	200	offset clear +4201 (paper/scanner_clear dropped)
5cc5889	2.561250	discard	2000	offset clear +100 (noise at 200r)
b19c8ba	2.569083	discard	2000	negative gap (equivalent in circular core)
955efb4	1.759167	discard	200	*gate bomb (same cell every iteration)
9c86b01	2.456667	discard	200	bombing scanner @scanptr (33% scan overhead fatal)
cd96842	2.570625	discard	2000	qstep=5039 (avg of 2 runs, noise vs 9001)
a7970f0	2.544167	discard	200	distant decoy at 12600 (startup delay)
4b30448	2.555917	discard	2000	reversed layout (no advantage in circular core)
69dcc80	1.522500	discard	200	MOV bomb via bptr.A=2 (no kills, all ties)
a48e0c2	2.511667	discard	200	Trojan >13 bomb (self-corruption via }dptr)
ad1bbb3	2.242500	discard	200	step=8401 (3 segments, gaps too large)
verify	2.569167	note	2000	bptr.B=9 re-measured: 2.569
verify	2.567833	note	2000	bptr.B=11 re-measured: 2.568 (identical)
ba695cd	1.580000	discard	200	3-instr clear (gate/loop merge = multi-process interference)
5ee5622	2.490833	discard	200	minimal 2-instr P-space (still 2 cycles too much)
631a407	2.516167	discard	2000	dptr.B=23 (paper collapse, B=13 confirmed)
321ad66	2.423333	discard	200	first=bptr-1+qstep*3 (noise too close to code)
baa2ca5	2.554083	discard	2000	first=step*2 (GCD=2, half noise coverage)
918da3f	2.555833	discard	200	first=step*3 (}first always +1, starting pos only)
13396d7	2.678417	keep	2000	STEP=4207 BREAKTHROUGH: clear_imp 52→82%, +0.121\!\!
13396d7	2.660750	keep	2000	step=4207 second confirmation: 2.661
c273fed	2.518333	discard	200	step=4211 (back to normal)
0ca0585	2.534167	discard	200	step=4219 (clear_imp OK but scanner_clear killed)
e8ca0ee	2.666583	discard	2000	dptr.B=9 with 4207 (B=11 better)
023412c	2.655083	discard	2000	gap=11 with 4207
d376d3a	2.676583	discard	2000	gap=7 with 4207 (gap=9 still best)
8e90d8b	2.662500	discard	2000	bptr.B=11 with 4207 (bptr.B=9 still best)
ef7f4dd	2.679250	keep	2000	BEST CONFIG: step=4207, dptr.B=11, bptr.B=9, gap=9
8fb5c4c	2.529167	discard	200	step=4213 (scanner_clear collapsed)
8d5d0bc	2.682917	keep	2000	dptr.A=11500 NEW BEST with step=4207
80d8961	2.683833	keep	2000	dptr.A=10800 NEW RECORD\! scanner_clear 74.2%
885268a	2.686167	keep	2000	dptr.A=10000 NEW RECORD\!
ff3acab	2.694917	keep	2000	dptr.A=9000 NEW RECORD\!\! sc=75.2%
d581214	2.690500	discard	2000	dptr.A=8000 (9000 is peak)
a89cca0	2.691417	discard	2000	dptr.A=8500
50d5f48	2.689750	discard	2000	dptr.A=9500
4382fee	2.313333	discard	200	step=5003 (near opponent step = mutual interference)
81d5b45	2.429167	discard	200	step=4199 (scanner_clear collapse persists)
500fd09	2.693167	discard	2000	bptr.B=11 with new config (B=9 still best)
bc7fe69	2.368333	discard	200	step=3631 (7 segments = bad)
e931308	2.460833	discard	200	step=4127 (scanner_clear collapse)
b61f89e	2.693167	discard	2000	dptr.A=8414 (=step*2, equivalent to 9000)
752aa4f	2.688417	discard	2000	qstep=step (duplicates scanner coverage)
fb5a3a2	2.674333	discard	2000	ispacing=step (no benefit from alignment)
3918c5a	2.694833	discard	2000	dptr.B=13 (identical to B=11 with new config)
b65a905	2.318333	discard	200	step=4193 (scanner_clear 36%)
4b557e7	2.536667	discard	200	step=4223 (scanner_clear 56.5%)
22507d3	2.678583	discard	2000	quad-bomb with 4207 (stone dropped -6.6%)
screen	2.410833	discard	200	step=4151
screen	2.433333	discard	200	step=4159
screen	2.398333	discard	200	step=4169
screen	2.520833	discard	200	step=4231
screen	2.455000	discard	200	step=4237
screen	2.478333	discard	200	step=4247
screen	2.320833	discard	200	step=4181
screen	2.310833	discard	200	step=4187
screen	2.310833	discard	200	step=4189
96d0dda	2.752250	keep	2000	GAP=3 BREAKTHROUGH\!\! scanner_clear 75→88%\! +0.057\!
2b38073	2.735333	discard	2000	dptr.A=8000 with gap=3 (9000 still best)
9e6e675	2.737167	discard	2000	dptr.B=17 with gap=3 (200r noise, B=11 best)
2a44270	2.733750	discard	2000	gap=2 (sc=90.2% record, but ci/st dropped)
b676778	2.746792	discard	2000	bptr.B=13 (avg matches B=9)
ff7dcaf	2.745208	discard	2000	first=step-gap (noise)
7e653fb	2.743333	discard	2000	double-bomb with gap=3 (stone+3% but ci/sc dropped)
91a5579	2.729667	discard	2000	entry at qs2 (first pair has value)
3c7dd87	2.733917	discard	2000	padding=4 with gap=3 (200r noise)
5761877	2.734917	discard	2000	qgap=3 (no benefit from matching scanner gap)
1337916	2.732250	discard	2000	ispacing=2521 (fallback <2%, noise)
screen	2.715000	discard	200	11 decoys with gap=3 (7 still optimal)
adf61a3	1.903333	discard	200	continuous scanner (process queue explosion → ties)
b381d6b	2.684167	discard	200	one-shot continuous scanner (+2 cycle overhead)
a83914c	2.730000	discard	2000	dptr.A=9001 (no sharp peak)
da3a502	1.441667	discard	200	sniper no-clear (3 bombs cant kill)
d6b434b	2.707500	discard	200	micro-stone (+1 cycle overhead)
1b9d2fc	2.274167	discard	200	nop }dptr (5-instr loop = 25% slower)
939984f	2.734833	discard	2000	qs→scan directly (changed noise signature)
e9cfd64	2.743000	discard	2000	medium multipliers (noise, identical to current)
5c36bf9	2.427333	discard	2000	SUB scan (effective step=20993, poor early coverage)
10e9223	1.328333	crash	200	gate=scanptr (bomb wraps hit own scan code)
4958398	2.746361	keep	2000	gate=clear_s-5 avg of 3 runs: 2.747 (marginal +0.008)
8629960	2.737250	discard	2000	dptr.B=19 (stone dropped, 200r noise)
949ce6d	2.732667	discard	2000	SPL shield (sc+1% but ci-3% st-2%)
24d7477	2.738833	discard	2000	no fallback (distant decoy worth +0.005)
28e5f29	2.742833	discard	2000	first=step+gap*2 (noise position insensitive)
5ed4dc2	2.737917	discard	2000	dptr.A=9175 (noise)
26a4174	2.735583	discard	2000	qstep=8995 (5-factor exploitation, qscan too rare)
b575ac3	2.734750	discard	2000	ispacing=4207 (still worse with v4)
fd14c28	2.687083	discard	2000	gap=7 with v4 (gap=3 still strongly optimal)
054c7fe	2.742750	discard	2000	dptr.A=8414=2*step (identical to 9000)
0be6e91	2.638333	discard	200	double-check v4 (scanner_clear 66%, timing)
screen	2.530833	discard	200	step=4221 (9-fold, coverage too small)
5bd43cc	2.747778	keep	2000	double-bomb+B=17: stone 75→78%, avg 2.748 (3 runs)
0d7fb50	2.748000	discard	2000	dptr.A=8000 double (same as 9000)
2394428	2.744583	discard	2000	dptr.A=8414 double
665835e	2.756278	keep	2000	NEW BEST: gate=-6 + gap=2 + double-bomb+B=17. Avg 2.756 (3 runs). sc=90%\!
1a59661	2.756500	discard	2000	B=23 (equivalent to B=17, worse stone)
34f6c27	2.716500	discard	2000	gap=1 (too tight, adjacent cells identical)
c2b2ec1	2.745250	discard	2000	bptr.B=11 (200r was +0.040 noise spike\!)
cdbeb08	2.753083	discard	2000	dptr.A=9500 (noise)
30cd447	2.756042	keep	2000	padding=2 (equivalent to 3, simpler)
addeb88	2.759167	keep	2000	padding=1 ULTRA-COMPACT. Stone 80.1%\! Avg 2.759 (3 runs)
ec07c62	2.744083	discard	2000	padding=0 (zero buffer = boundary corruption)
b632298	2.757417	discard	2000	4-pair no-decoy (decoy effect > footprint savings)
68131fb	2.754222	discard	2000	B=37 avg 2.754 (below B=17 at 2.759)
4013357	2.750750	discard	2000	first=bptr+1+step (noise)
78463a5	2.739167	discard	200	sne.x crossed comparison (less sensitive)
db1f812	2.738667	discard	2000	djn.a (premature termination, 50 sc ties)
e3c1fbd	2.753250	discard	2000	qgap=5 (200r noise)
d25fe25	2.753667	discard	2000	qgap=2 (200r noise)
253e1a0	2.748333	discard	2000	entry qs1+1 (altered detection logic)
screen	1.025000	discard	200	djn }bptr (sweep inside own code)
4eef2eb	2.757000	discard	2000	bptr=11+dptr.B=19 combo (no positive interaction)
275b8b6	2.756083	discard	2000	seq in decoy (noise)
screen	2.730833	discard	200	triple+B=11 with gap=2+pad=1 (double-bomb essential)
76fe470	2.740667	discard	2000	gap=4 v8 (gap=2 still best)
screen	2.738333	discard	200	compact fallback (dense = worse distant decoy)
8168ea8	2.748000	discard	2000	dptr.A=step (200r noise, 9000 better)
screen	2.752500	note	200	A=12345 random (flat in 8000-13000)
screen	2.555000	discard	200	step=4217 v8 (4207 still dominant)
90a2fb5	2.757667	keep	2000	restore for 26 (was accidentally for 16, equivalent)
screen	2.760833	note	200	B=#17 vs $17 (equivalent)
screen	2.662500	discard	200	step=4214 GCD=14 (coverage too thin at 7.1%)
screen	2.427500	discard	200	step=4205 GCD=5 (slower cycling + lower density)
screen	2.749167	note	200	step=29407 mod equivalence confirmed
screen	2.188333	discard	200	step=5033 7×719 (5-point spacing too wide)
screen	2.640833	discard	200	gap=step (probes too far apart for front-detection)
screen	2.770833	note	200	qstep=3463 stone step (qscan noise, not confirming)
screen	2.457500	discard	200	step=4197 GCD=3 (rotation too slow)
screen	2.757500	note	200	jmp-scan padding (equivalent, djn.f never terminates)
screen	2.708333	note	200	step=4204 GCD=4
screen	2.739167	note	200	step=4206 GCD=6 (close to 4207\!)
616cc94	2.752083	discard	2000	remove second padding (marginally worse -0.004)
screen	2.735000	discard	200	inc=nop (DAT kills strays, NOP doesnt)
screen	2.738333	note	200	swapped qs2/qs3 order (noise)
b276116	2.874583	keep	2000	***TRAP FIELD BREAKTHROUGH*** 4000 spl traps + scanner. ci=97% sc=93.5% +0.119\!\!\!
bef9884	2.866417	discard	2000	gap=3 with traps (equivalent to gap=2)
ee44439	2.848250	discard	2000	trap field + qscan (overhead hurts sc 93→86)
fef70eb	2.867000	discard	2000	dptr.B=11 trap field (equivalent to B=17)
screen	2.815833	discard	200	mixed spl+imp traps (boundary self-detection)
64d965c	2.859083	discard	2000	triple-bomb trap field (stone 72% too low)
70d42b9	2.851167	discard	2000	reversed trap layout (gate position worse)
532c6a1	1.653333	discard	200	P-space imp-on-loss (scanning always better than switching)
d8fc83a	0.000000	crash	200	P-space DAT bug
b276116	2.870433	keep	10000	FORTRESS DEFINITIVE: ci=96.4% sc=93.8% st=77.4% 10000r
